Compound,SMILES,USPTO x,USPTO p(x),USPTO lit match?,Reaxys x,Reaxys p(x),Reaxys lit match?
1,CC1=CC=C(C)O1,,,,1,0.986,y
2,C1(C2=CC=C(C3=CC=CC=C3)O2)=CC=CC=C1,,,,1,0.998,y
3,CC1=CC=C(C)N1C,1,0.411,y,,,
4,CC(C)(C1=CC(C(OC)=O)=C(C2=CC=CC=C2)N1CC3=CC=CC=C3)C,,,,2,0.005,y
5,CC(C)(C1=CC(C(NCCN2CCOCC2)=O)=C(C3=CC=CC=C3)S1)C,1,0.98,n,1,0.66,n
6,CC1=CC=C(C)S1,,,,,,
7,CCOC(C1CCC(C)=CC1)=O,1,0.951,y,1,0.998,y
8,C12=CC=CC=C1C=C(C3=CC=CC=C3)C=N2,,,,,,
9,COC1=C(OC)C=C(C(C2=CC=CC=C2)=NCC3)C3=C1,1,0.997,y,1,0.976,y
10,C12=CC=CC=C1C=CC=N2,1,0.565,y,1,0.847,y
11,OC(C1N2CC(C=C)C(C2)C1)C3=C4C(C=CC(OC)=C4)=NC=C3,8,0.018,n,3,0.032,n
12,C12=CC=CC=C1C=CN=C2,1,0.574,y,1,0.732,y
13,CN(C)CCOC1=NC(CCCC)=CC2=CC=CC=C21,,,,1,0.524,
14,O=C1CCC2C(CCCC2)=C1,4,0.02,n,2,0.468,
15,C1CCC=CC1,1,0.996,,1,0.845,
16,C(OCC=C1)(C2OCC=CC32C=CCO3)C41OCC=C4,5,0.023,y,1,0.91,y
17,ClC1=CC=NC(N2CC=CC2)=N1,1,0.576,y,1,0.998,y
18,CC1=C(C)NC2=CC=CC=C21,1,0.415,,1,0.657,
19,CC1=C(C)N(C(OCC2=CC=CC=C2)=O)C3=CC=CC=C31,,,,1,0.224,
20,OCC(CO)(CN(N=N1)C=C1C2=CC=CC=C2)CN(N=N3)C=C3C4=CC=CC=C4,1,0.946,y,1,0.999,y
